City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Soyo,AO,77.38,overcast clouds,-6.1349,12.3689,Hotel Mpampa
6,Hilo,US,84.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
8,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Arraial Do Cabo,BR,72.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
19,Caravelas,BR,75.6,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
21,Rikitea,PF,77.58,clear sky,-23.1203,-134.9692,People ThankYou
37,Luwuk,ID,84.6,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
38,Auki,SB,87.1,overcast clouds,-8.7676,160.7034,Auki Motel
46,Port Blair,IN,77.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,Mahibadhoo,MV,83.61,broken clouds,3.7833,72.9667,Omadhoo Inn
48,Saint-Philippe,RE,72.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Sinnamary,GF,77.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
59,Kingman,US,77.13,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
60,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
61,Inhambane,MZ,77.29,broken clouds,-23.865,35.3833,Oceano
63,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
65,Jhang,PK,73.62,clear sky,33.6748,72.6963,Bismallah sentory store
66,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
67,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
73,Koumac,NC,79.2,broken clouds,-20.5667,164.2833,Le Monitel
74,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Ouagadougou,BF,86.13,few clouds,12.3642,-1.5383,Pacific Hôtel
83,Ulladulla,AU,72.5,overcast clouds,-35.35,150.4667,Sandpiper Motel
88,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
89,Coahuayana,MX,75.94,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
93,Japura,ID,75.22,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
101,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
102,Touros,BR,80.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
105,Rosita,NI,77.58,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
107,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
109,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
111,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
112,Puerto Ayora,EC,76.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
119,Saint George,US,76.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
120,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
129,Mogadishu,SO,81.03,overcast clouds,2.0371,45.3438,Hotel Juba
132,San Pedro,PH,85.23,few clouds,14.35,121.0167,Esquivel's Garden And Resort
133,Kavaratti,IN,83.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
135,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
137,Tequila,MX,84.31,overcast clouds,20.8833,-103.8333,Hotel La Rienda Mision Tequillan
138,Bhuj,IN,74.53,clear sky,23.2667,69.6667,Regenta Resort Bhuj
142,Jiwani,PK,81.1,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
146,Pangkalanbuun,ID,76.23,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
147,Veracruz,MX,78.28,scattered clouds,19.3333,-96.6667,El Carrizal
148,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
152,Port Lincoln,AU,71.8,clear sky,-34.7333,135.8667,Port Lincoln Hotel
155,Tura,IN,75.38,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
156,Mbandaka,CD,70.52,overcast clouds,0.0487,18.2603,Guest House Epervier
157,Vanimo,PG,85.46,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
165,Almeirim,BR,74.77,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
169,Candido Mendes,BR,74.39,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
176,San Miguel,SV,84.16,overcast clouds,13.4833,-88.1833,Excalibur
181,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
182,Victoria,HK,73.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
185,Gigmoto,PH,83.53,clear sky,13.7796,124.39,Cj's Travellers Inn
188,Arawa,PG,83.89,light rain,-6.2132,155.5367,Coastline Guest House
189,Jacareacanga,BR,73.15,moderate rain,-6.2222,-57.7528,Casa do Ian😎
190,Puerto Narino,CO,73.22,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
191,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
194,Leopold,AU,75.81,clear sky,-38.1833,144.4667,Avila Vista
199,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
213,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
215,Ambilobe,MG,74.57,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
217,Cabo San Lucas,MX,81.7,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
220,Stephenville,US,87.17,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
222,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
223,Todos Santos,MX,70.45,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
224,Humberto De Campos,BR,76.21,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
225,Faanui,PF,82.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Bireun,ID,80.26,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
229,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
230,Yulara,AU,84.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
233,Bandarbeyla,SO,82.74,overcast clouds,9.4942,50.8122,JABIR HOTEL
234,Kencong,ID,81.07,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
235,Grand-Santi,GF,73.09,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
247,Amahai,ID,86.43,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
248,Atar,MR,75.85,clear sky,20.5169,-13.0499,Oumou Elghoura
253,Gondanglegi,ID,82.26,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
256,Tual,ID,84.18,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
263,Morondava,MG,78.58,clear sky,-20.2833,44.2833,La Case Bambou
268,Veraval,IN,79.09,clear sky,20.9,70.3667,Lords Inn Somnath
272,Sao Joao Da Barra,BR,72.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
276,Bhadrachalam,IN,81.73,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
278,Dingle,PH,82.99,few clouds,10.9995,122.6711,SEGAYA PROPERTY
281,Daru,PG,76.89,very heavy rain,-9.0763,143.2092,Daru Lodge
283,Khadro,PK,75.24,clear sky,26.1472,68.7176,Bismillah Hotal bus stop Khadro
284,Itaituba,BR,74.23,overcast clouds,-4.2761,-55.9836,Hotel Campos
292,Marawi,PH,78.4,broken clouds,7.9986,124.2928,Derogongan Residence
297,Lahaina,US,82.4,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
298,Kupang,ID,84.72,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
306,Itupiranga,BR,74.55,few clouds,-5.1347,-49.3267,Hotel Panorama
308,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
309,Flinders,AU,77.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
311,Omboue,GA,77.05,overcast clouds,-1.5746,9.2618,Hotel Olako
312,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
317,Buala,SB,83.37,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
319,Gizo,SB,83.35,light rain,-8.103,156.8419,Imagination Island
324,Maningrida,AU,82.98,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
328,Lodhran,PK,78.64,clear sky,29.5405,71.6336,Gulshan e khalil
332,Lorengau,PG,84.94,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
333,Kirakira,SB,84.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
337,Christchurch,NZ,72.95,overcast clouds,-43.5333,172.6333,The George
341,Kavieng,PG,84.24,light rain,-2.5744,150.7967,Nusa Island Retreat
342,Namatanai,PG,85.21,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
345,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
348,Kanker,IN,78.75,broken clouds,20.2719,81.4931,STARiHOTEL Kanker
349,Inirida,CO,75.27,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
355,Hervey Bay,AU,74.23,few clouds,-25.2986,152.8535,Shelly Bay Resort
357,Rio Branco,BR,75.81,scattered clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
360,Dangriga,BZ,79.57,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
364,Kualakapuas,ID,78.94,moderate rain,-3.0091,114.3876,Guest House Izonk
365,Manoel Urbano,BR,72.64,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
366,Laguna,US,71.92,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
369,Kiunga,PG,85.78,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
370,Karratha,AU,89.73,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
372,Victor Harbor,AU,73.17,few clouds,-35.5667,138.6167,McCracken Country Club
373,San Patricio,US,79.54,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
375,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
376,Repalle,IN,82.08,scattered clouds,16.0167,80.85,Bhanukoti building
378,Ramhormoz,IR,72.39,light rain,31.28,49.6035,کافی نت کاریزما
381,Bengkulu,ID,78.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
383,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
384,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
390,Sao Filipe,CV,70.75,clear sky,14.8961,-24.4956,Hotel Xaguate
391,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
392,Rakaia,NZ,71.29,broken clouds,-43.75,172.0167,St Itas Guesthouse
393,Kyaukse,MM,82.4,few clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
394,Kudahuvadhoo,MV,83.39,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
395,Natchitoches,US,77.85,overcast clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
400,Gladstone,AU,78.78,clear sky,-23.85,151.25,Highpoint International Hotel
405,Byron Bay,AU,71.94,broken clouds,-28.65,153.6167,Backpackers Inn
406,Ouricuri,BR,79.14,overcast clouds,-7.8825,-40.0817,Sertão Pousada
