City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,52.81,65,28,35.21,scattered clouds
1,Omsukchan,RU,62.5333,155.8,16.81,87,100,6.31,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,46.51,81,20,19.57,light rain
3,Sapa,PH,5.1544,120.3241,83.08,72,89,5.79,overcast clouds
4,Soyo,AO,-6.1349,12.3689,77.38,89,87,3.47,overcast clouds
5,Albany,US,42.6001,-73.9662,61.21,39,71,9.98,broken clouds
6,Hilo,US,19.7297,-155.09,84.27,88,100,9.22,light rain
7,Romanovka,RU,51.7443,42.7527,43.9,75,96,6.51,overcast clouds
8,Butaritari,KI,3.0707,172.7902,81.77,73,34,11.18,light rain
9,Arraial Do Cabo,BR,-22.9661,-42.0278,72.88,67,1,20.94,clear sky
10,Hermanus,ZA,-34.4187,19.2345,56.8,69,55,15.08,broken clouds
11,Kembe,CF,4.6228,21.8865,70.0,96,89,2.1,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,61.2,72,40,8.05,scattered clouds
13,Busselton,AU,-33.65,115.3333,66.13,69,100,7.2,overcast clouds
14,Hofn,IS,64.2539,-15.2082,45.86,87,100,3.56,overcast clouds
15,Sterling,US,39.0062,-77.4286,66.2,29,20,12.66,few clouds
16,Fortuna,US,40.5982,-124.1573,48.09,76,100,1.01,light rain
17,Fort Saint James,CA,54.4333,-124.25,34.34,38,100,0.22,overcast clouds
18,Cherskiy,RU,68.75,161.3,20.28,93,100,6.73,overcast clouds
19,Caravelas,BR,-17.7125,-39.2481,75.6,78,100,13.96,moderate rain
20,Port Alfred,ZA,-33.5906,26.891,59.9,70,100,6.08,light rain
21,Rikitea,PF,-23.1203,-134.9692,77.58,72,3,14.32,clear sky
22,Zhigansk,RU,66.7697,123.3711,8.47,88,74,11.79,broken clouds
23,Grindavik,IS,63.8424,-22.4338,46.87,93,100,29.93,light intensity drizzle
24,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,66,0,9.22,clear sky
25,Vardo,NO,70.3705,31.1107,36.25,91,100,24.61,overcast clouds
26,Barcelos,PT,41.5388,-8.6151,59.92,90,62,2.53,broken clouds
27,Kaitangata,NZ,-46.2817,169.8464,57.27,50,4,20.22,clear sky
28,Nikolskoye,RU,59.7035,30.7861,37.87,88,86,11.7,overcast clouds
29,Severnyy,RU,50.677,36.5532,48.24,87,98,6.71,overcast clouds
30,Shitanjing,CN,39.2342,106.3439,39.88,70,100,15.08,overcast clouds
31,Jamestown,US,42.097,-79.2353,54.52,41,100,8.05,overcast clouds
32,Bethel,US,41.3712,-73.414,59.36,39,0,13.8,clear sky
33,Yellowknife,CA,62.456,-114.3525,21.72,49,75,6.91,broken clouds
34,Bredasdorp,ZA,-34.5322,20.0403,57.97,61,98,10.71,overcast clouds
35,Hobart,AU,-42.8794,147.3294,60.03,65,75,6.91,broken clouds
36,Provideniya,RU,64.3833,-173.3,32.76,95,100,27.58,light snow
37,Luwuk,ID,-0.9516,122.7875,84.6,71,100,1.12,overcast clouds
38,Auki,SB,-8.7676,160.7034,87.1,61,100,1.81,overcast clouds
39,Sile,TR,41.1754,29.6133,50.67,61,4,5.12,clear sky
40,Westerly,US,41.3776,-71.8273,56.8,70,0,13.8,clear sky
41,Mataura,NZ,-46.1927,168.8643,52.48,54,19,14.16,few clouds
42,Te Anau,NZ,-45.4167,167.7167,55.31,51,14,7.67,few clouds
43,Jumla,NP,29.2747,82.1838,48.2,43,0,4.27,clear sky
44,Tiksi,RU,71.6872,128.8694,-0.11,98,99,3.22,overcast clouds
45,Batagay-Alyta,RU,67.8006,130.4114,10.74,79,15,2.17,few clouds
46,Port Blair,IN,11.6667,92.75,77.04,94,20,2.3,few clouds
47,Mahibadhoo,MV,3.7833,72.9667,83.61,73,83,5.93,broken clouds
48,Saint-Philippe,RE,-21.3585,55.7679,72.21,85,48,14.99,light rain
49,Khatanga,RU,71.9667,102.5,19.81,84,100,10.29,overcast clouds
50,Muros,ES,42.7762,-9.0603,50.85,91,3,1.79,clear sky
51,Masindi,UG,1.6744,31.715,63.52,98,100,2.48,light rain
52,Torbay,CA,47.6666,-52.7314,36.57,75,40,10.36,scattered clouds
53,Ilulissat,GL,69.2167,-51.1,-7.89,93,17,7.23,few clouds
54,Ushuaia,AR,-54.8,-68.3,44.26,76,40,24.16,scattered clouds
55,Norman Wells,CA,65.282,-126.8329,14.04,48,40,12.66,scattered clouds
